Question,Answer,QuestionAnswer
What are the requirements for one and same certificate?,"Supporting documents such as Aadhaar card, ration card, school certificate, and voter ID need to be uploaded for the application.","What are the requirements for one and same certificate?Supporting documents such as Aadhaar card, ration card, school certificate, and voter ID need to be uploaded for the application."
What is the procedure for obtaining one and same certificate?,"The procedure for obtaining a one and same certificate through an Akshaya Centre typically involves several steps: individuals must fill out an application form accurately, provide necessary supporting documents such as proof of identity, address, and documents demonstrating the need for the certificate, submit the completed application form and supporting documentation, undergo a thorough verification process conducted by authorized personnel, and await approval while adhering to all guidelines and regulations set forth by the relevant authorities.","What is the procedure for obtaining one and same certificate?The procedure for obtaining a one and same certificate through an Akshaya Centre typically involves several steps: individuals must fill out an application form accurately, provide necessary supporting documents such as proof of identity, address, and documents demonstrating the need for the certificate, submit the completed application form and supporting documentation, undergo a thorough verification process conducted by authorized personnel, and await approval while adhering to all guidelines and regulations set forth by the relevant authorities."
What is the time frame/duration for obtaining/issuing the one and same certificate?,5 days from the date of application,What is the time frame/duration for obtaining/issuing the one and same certificate?5 days from the date of application
What is the fee for one and same certificate?,Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20,What is the fee for one and same certificate?Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20
What are the requirements for possession certificate?,"Supporting documents required for a possession certificate include the Aadhaar card, land tax receipt, proof of property ownership, encumbrance certificate demonstrating the property's freedom from liabilities, and a voter ID.","What are the requirements for possession certificate?Supporting documents required for a possession certificate include the Aadhaar card, land tax receipt, proof of property ownership, encumbrance certificate demonstrating the property's freedom from liabilities, and a voter ID."
What is the procedure for obtaining possession certificate?,"The procedure for obtaining a possession certificate through an Akshaya Centre typically involves filling out an application form, uploading necessary supporting documents such as the Aadhaar card, land tax receipt, proof of property ownership, encumbrance certificate, and voter ID, undergoing a verification process, and awaiting approval while adhering to relevant guidelines and regulations set by the authorities.","What is the procedure for obtaining possession certificate?The procedure for obtaining a possession certificate through an Akshaya Centre typically involves filling out an application form, uploading necessary supporting documents such as the Aadhaar card, land tax receipt, proof of property ownership, encumbrance certificate, and voter ID, undergoing a verification process, and awaiting approval while adhering to relevant guidelines and regulations set by the authorities."
What is the time frame/duration for obtaining/issuing the possession certificate?,"7 days from the date of application
","What is the time frame/duration for obtaining/issuing the possession certificate?7 days from the date of application
"
What is the fee for possession certificate?,Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20,What is the fee for possession certificate?Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20
What are the requirements for possession and non attachment certificate?,"The requirements for a possession and non-attachment certificate include providing an Aadhaar Card, land tax receipt, proof of property ownership, encumbrance certificate confirming the property's freedom from monetary and legal liabilities, and a Voter ID.","What are the requirements for possession and non attachment certificate?The requirements for a possession and non-attachment certificate include providing an Aadhaar Card, land tax receipt, proof of property ownership, encumbrance certificate confirming the property's freedom from monetary and legal liabilities, and a Voter ID."
What is the procedure for obtaining possession and non attachment certificate?,"For acquiring a possession and non-attachment certificate through an Akshaya Centre, individuals usually commence by accurately filling out an application form and gathering essential documents, including their Aadhaar card, land tax receipt, proof of property ownership, encumbrance certificate, and voter ID. Following this, they submit the completed application form and supporting documentation to the Akshaya Centre. Subsequently, the provided documents undergo a thorough verification process by authorized personnel to authenticate the information. This verification may involve cross-referencing the details with government records and conducting interviews or investigations if necessary. Finally, applicants await approval for the certificate while adhering to all relevant guidelines and regulations stipulated by the authorities throughout the application process.","What is the procedure for obtaining possession and non attachment certificate?For acquiring a possession and non-attachment certificate through an Akshaya Centre, individuals usually commence by accurately filling out an application form and gathering essential documents, including their Aadhaar card, land tax receipt, proof of property ownership, encumbrance certificate, and voter ID. Following this, they submit the completed application form and supporting documentation to the Akshaya Centre. Subsequently, the provided documents undergo a thorough verification process by authorized personnel to authenticate the information. This verification may involve cross-referencing the details with government records and conducting interviews or investigations if necessary. Finally, applicants await approval for the certificate while adhering to all relevant guidelines and regulations stipulated by the authorities throughout the application process."
What is the time frame/duration for obtaining/issuing the possession and non attachment  certificate?,7 days from the date of application,What is the time frame/duration for obtaining/issuing the possession and non attachment  certificate?7 days from the date of application
What is the fee for possession and non attachment certificate?,Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20,What is the fee for possession and non attachment certificate?Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20
What are the requirements for relationship certificate?,"For obtaining a relationship certificate, individuals are typically required to provide supporting documents such as Aadhaar card, voter ID, and ration card.","What are the requirements for relationship certificate?For obtaining a relationship certificate, individuals are typically required to provide supporting documents such as Aadhaar card, voter ID, and ration card."
What is the procedure for obtaining relationship certificate?,"To obtain a relationship certificate through an Akshaya Centre, individuals usually start by completing an application form accurately. They then gather essential documents such as their Aadhaar card, voter ID, and ration card, which serve as proof of identity and address. After assembling the necessary paperwork, they submit the application form and supporting documents to the Akshaya Centre. The provided documents undergo a meticulous verification process by authorized personnel to ensure their authenticity and accuracy. This verification may involve cross-referencing the details with government records and conducting interviews or investigations if necessary. Once the verification is complete, applicants await approval for the certificate. Throughout the application process, individuals must adhere to all relevant guidelines and regulations stipulated by the authorities.","What is the procedure for obtaining relationship certificate?To obtain a relationship certificate through an Akshaya Centre, individuals usually start by completing an application form accurately. They then gather essential documents such as their Aadhaar card, voter ID, and ration card, which serve as proof of identity and address. After assembling the necessary paperwork, they submit the application form and supporting documents to the Akshaya Centre. The provided documents undergo a meticulous verification process by authorized personnel to ensure their authenticity and accuracy. This verification may involve cross-referencing the details with government records and conducting interviews or investigations if necessary. Once the verification is complete, applicants await approval for the certificate. Throughout the application process, individuals must adhere to all relevant guidelines and regulations stipulated by the authorities."
What is the time frame/duration for obtaining/issuing the relationship  certificate?,7 days from the date of application,What is the time frame/duration for obtaining/issuing the relationship  certificate?7 days from the date of application
What is the fee for relationship certificate?,Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20,What is the fee for relationship certificate?Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20
What are the requirements for solvency certificate?,"For acquiring a solvency certificate, individuals are typically required to provide a set of documents including their Aadhaar Card, which serves as proof of identity, the land tax receipt as evidence of property ownership and financial status, along with an encumbrance certificate indicating the property's freedom from monetary and legal liabilities, and a Voters ID to further establish identity and residency. These documents collectively demonstrate the individual's financial solvency and eligibility for the certificate.","What are the requirements for solvency certificate?For acquiring a solvency certificate, individuals are typically required to provide a set of documents including their Aadhaar Card, which serves as proof of identity, the land tax receipt as evidence of property ownership and financial status, along with an encumbrance certificate indicating the property's freedom from monetary and legal liabilities, and a Voters ID to further establish identity and residency. These documents collectively demonstrate the individual's financial solvency and eligibility for the certificate."
What is the procedure for obtaining solvency certificate?,"The procedure for obtaining a solvency certificate through an Akshaya Centre generally involves several steps: individuals need to fill out an application form accurately, gather necessary supporting documents such as Aadhaar Card, land tax receipt, proof of property ownership, encumbrance certificate, and Voters ID, submit the completed application form and supporting documentation, undergo a verification process conducted by authorized personnel to authenticate the provided information, and finally, await approval while adhering to relevant guidelines and regulations set by the authorities.","What is the procedure for obtaining solvency certificate?The procedure for obtaining a solvency certificate through an Akshaya Centre generally involves several steps: individuals need to fill out an application form accurately, gather necessary supporting documents such as Aadhaar Card, land tax receipt, proof of property ownership, encumbrance certificate, and Voters ID, submit the completed application form and supporting documentation, undergo a verification process conducted by authorized personnel to authenticate the provided information, and finally, await approval while adhering to relevant guidelines and regulations set by the authorities."
What is the time frame/duration for obtaining/issuing the solvency  certificate?,6 days from the date of application,What is the time frame/duration for obtaining/issuing the solvency  certificate?6 days from the date of application
What is the fee for solvency certificate?,Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20,What is the fee for solvency certificate?Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20
What are the requirements for valuation certificate?,"The requirements for a valuation certificate typically include providing documents such as Aadhaar Card, land tax receipt, proof of property ownership, encumbrance certificate demonstrating the property's freedom from monetary and legal liabilities, and Voters ID.","What are the requirements for valuation certificate?The requirements for a valuation certificate typically include providing documents such as Aadhaar Card, land tax receipt, proof of property ownership, encumbrance certificate demonstrating the property's freedom from monetary and legal liabilities, and Voters ID."
What is the procedure for obtaining valuation certificate?,"The procedure for obtaining a valuation certificate from an Akshaya Centre typically involves filling out an application form accurately, providing necessary supporting documents such as Aadhaar Card, land tax receipt, proof of property ownership, encumbrance certificate, and Voters ID, submitting the completed application form and supporting documentation, undergoing a verification process conducted by authorized personnel to authenticate the provided information, and awaiting approval while adhering to relevant guidelines and regulations set by the authorities.","What is the procedure for obtaining valuation certificate?The procedure for obtaining a valuation certificate from an Akshaya Centre typically involves filling out an application form accurately, providing necessary supporting documents such as Aadhaar Card, land tax receipt, proof of property ownership, encumbrance certificate, and Voters ID, submitting the completed application form and supporting documentation, undergoing a verification process conducted by authorized personnel to authenticate the provided information, and awaiting approval while adhering to relevant guidelines and regulations set by the authorities."
What is the time frame/duration for obtaining/issuing the valuation  certificate?,15 days from the date of application,What is the time frame/duration for obtaining/issuing the valuation  certificate?15 days from the date of application
What is the fee for valuation certificate?,Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20,What is the fee for valuation certificate?Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20
What are the requirements for widow-widower certificate?,"The requirements for obtaining a widow/widower certificate from an Akshaya Centre typically include submitting documents such as Aadhaar Card, Voters ID, Ration Card, and the death certificate of the deceased spouse.","What are the requirements for widow-widower certificate?The requirements for obtaining a widow/widower certificate from an Akshaya Centre typically include submitting documents such as Aadhaar Card, Voters ID, Ration Card, and the death certificate of the deceased spouse."
What is the procedure for obtaining widow-widower certificate?,"The procedure for obtaining a widow/widower certificate from an Akshaya Centre usually involves filling out an application form accurately, providing necessary supporting documents such as Aadhaar Card, Voters ID, Ration Card, and the death certificate of the deceased spouse, submitting the completed application form and supporting documentation, undergoing a verification process conducted by authorized personnel to authenticate the provided information, and awaiting approval while adhering to relevant guidelines and regulations set by the authorities.","What is the procedure for obtaining widow-widower certificate?The procedure for obtaining a widow/widower certificate from an Akshaya Centre usually involves filling out an application form accurately, providing necessary supporting documents such as Aadhaar Card, Voters ID, Ration Card, and the death certificate of the deceased spouse, submitting the completed application form and supporting documentation, undergoing a verification process conducted by authorized personnel to authenticate the provided information, and awaiting approval while adhering to relevant guidelines and regulations set by the authorities."
What is the time frame/duration for obtaining/issuing the widow-widower  certificate?,5 days from the date of application,What is the time frame/duration for obtaining/issuing the widow-widower  certificate?5 days from the date of application
What is the fee for widow-widower certificate?,Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20,What is the fee for widow-widower certificate?Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing. SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing. BPL families need to pay Rs 20
What is KNRK?,"The Kerala Non-Resident Keralites Welfare Fund Board (KNRKWB) is an organization established by the Government of Kerala, India. Its main purpose is to offer welfare services and support programs to Keralites living outside their home state, known as non-resident Keralites (NRKs).","What is KNRK?The Kerala Non-Resident Keralites Welfare Fund Board (KNRKWB) is an organization established by the Government of Kerala, India. Its main purpose is to offer welfare services and support programs to Keralites living outside their home state, known as non-resident Keralites (NRKs)."
What is the membership eligibility to access KNRK services?,"To be eligible for the Kerala Non-Resident Keralites Welfare Fund Board (KNRKWB), an individual must be from Kerala and living outside the state or country for work or business. They should be between 18 and 60 years old. Additionally, they need to register with the KNRKWB and pay a membership fee, which varies depending on whether they live in another state in India or in a foreign country.","What is the membership eligibility to access KNRK services?To be eligible for the Kerala Non-Resident Keralites Welfare Fund Board (KNRKWB), an individual must be from Kerala and living outside the state or country for work or business. They should be between 18 and 60 years old. Additionally, they need to register with the KNRKWB and pay a membership fee, which varies depending on whether they live in another state in India or in a foreign country."
What are the documents required for obtaining KNRK certificate?,"Proof of being from Kerala, typically through documents like the Kerala SSLC book. Proof of current residence outside Kerala, using employment documents, visas, or resident permits. Proof of identity, such as an Aadhaar card or passport.","What are the documents required for obtaining KNRK certificate?Proof of being from Kerala, typically through documents like the Kerala SSLC book. Proof of current residence outside Kerala, using employment documents, visas, or resident permits. Proof of identity, such as an Aadhaar card or passport."
What is the fee for KNRK services?,"NRKs in India and those who returned from abroad have to pay a minimum of Rs 100 monthly contribution. On the other hand, workers working abroad must pay a minimum contribution of Rs 300 per month.","What is the fee for KNRK services?NRKs in India and those who returned from abroad have to pay a minimum of Rs 100 monthly contribution. On the other hand, workers working abroad must pay a minimum contribution of Rs 300 per month."
What are the benefits enjoyed by KNRK members?,"Members can access various benefits, including pension plans, insurance, and financial help for medical needs, marriages, children's education, and funeral expenses. There are also programs to assist those who return to Kerala, helping them reintegrate and start businesses.","What are the benefits enjoyed by KNRK members?Members can access various benefits, including pension plans, insurance, and financial help for medical needs, marriages, children's education, and funeral expenses. There are also programs to assist those who return to Kerala, helping them reintegrate and start businesses."
What is the process for membership application for KNRK org?,"To apply for membership with the Kerala Non-Resident Keralites Welfare Fund, you can either fill out the application online on their official website or visit their offices in Kerala.","What is the process for membership application for KNRK org?To apply for membership with the Kerala Non-Resident Keralites Welfare Fund, you can either fill out the application online on their official website or visit their offices in Kerala."
What are the requirements for FSSAI food license registration?,"Declaration Form, Authority Letter, Food Business Operator (FBO) Details, Passport Size Photograph of Food Business Operator (FBO), Document Proof Business Property(if Owned), Copy of Rental Agreememt (if rented business), Food Safety Managment System Plan / Certificate, Copy of Electricity, Water Bill of Business Place (Own / Rented), Aadhaar Card / Voter ID Card of Proprieter / Partners / Directos of FBO, Form IX : Nomination of, Persons by along with board resolutions  (applicable for registered companies), Layout Plan of the Business Place, Equipment & Machinery List, List of Food Category Desired to be manufactored, Pesticide Residues Report of Water, Upload Images of Production Unit, NOC by Municipality/Panchayat, NOC from Helath Department, Police Department, Fire Safety etc.,","What are the requirements for FSSAI food license registration?Declaration Form, Authority Letter, Food Business Operator (FBO) Details, Passport Size Photograph of Food Business Operator (FBO), Document Proof Business Property(if Owned), Copy of Rental Agreememt (if rented business), Food Safety Managment System Plan / Certificate, Copy of Electricity, Water Bill of Business Place (Own / Rented), Aadhaar Card / Voter ID Card of Proprieter / Partners / Directos of FBO, Form IX : Nomination of, Persons by along with board resolutions  (applicable for registered companies), Layout Plan of the Business Place, Equipment & Machinery List, List of Food Category Desired to be manufactored, Pesticide Residues Report of Water, Upload Images of Production Unit, NOC by Municipality/Panchayat, NOC from Helath Department, Police Department, Fire Safety etc.,"
What is the validity of fssai license?,The license issued by the FSSAI is valid for a minimum of 1 year to a maximum of 5 years. ,What is the validity of fssai license?The license issued by the FSSAI is valid for a minimum of 1 year to a maximum of 5 years. 
What is the time frame/duration for obtaining/issuing the FSSAI license?,A license has to be issued by the Licensing Authority within 60 days of making a complete application by an applicant.,What is the time frame/duration for obtaining/issuing the FSSAI license?A license has to be issued by the Licensing Authority within 60 days of making a complete application by an applicant.
What is the fee for FSSAI license?,food safety registration ( Form A )Rs 50 + Rs.3 per page for scanning /printing food safety licence (Form B) Rs 80 + Rs.3 per page for scanning /printing food safety renewal(Form A) Rs 25 + Rs.3 per page for scanning /printing food safety renewal(Form B) Rs 25 + Rs.3 per page for scanning /printing,What is the fee for FSSAI license?food safety registration ( Form A )Rs 50 + Rs.3 per page for scanning /printing food safety licence (Form B) Rs 80 + Rs.3 per page for scanning /printing food safety renewal(Form A) Rs 25 + Rs.3 per page for scanning /printing food safety renewal(Form B) Rs 25 + Rs.3 per page for scanning /printing
What are the requirements for family membership certificate?,"Application form, Aadhaar Card, Election/Voters ID, Ration Card","What are the requirements for family membership certificate?Application form, Aadhaar Card, Election/Voters ID, Ration Card"
What is the purpose of family membership certificate?,Family membership certificate is often required for the purpose of settlement of claims in respect of the deceased family. It also aids to get death benefits or to get the properties in the name of deceased.,What is the purpose of family membership certificate?Family membership certificate is often required for the purpose of settlement of claims in respect of the deceased family. It also aids to get death benefits or to get the properties in the name of deceased.
What is the procedure for obtaining family membership certificate?,"Obtaining this certificate typically involves submitting a formal application to a local government authority or registry, accompanied by necessary documentation like death certificates and proof of relationship, all of which must be verified to prevent fraud and ensure proper administrative processing.","What is the procedure for obtaining family membership certificate?Obtaining this certificate typically involves submitting a formal application to a local government authority or registry, accompanied by necessary documentation like death certificates and proof of relationship, all of which must be verified to prevent fraud and ensure proper administrative processing."
What is the time frame/duration for obtaining/issuing the family membership certificate?,6 days from the date of application,What is the time frame/duration for obtaining/issuing the family membership certificate?6 days from the date of application
What is the fee for family membership certificate?,"Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing
SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing
BPL families need to pay Rs 20
","What is the fee for family membership certificate?Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing
SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing
BPL families need to pay Rs 20
"
What is the validity of family membership certificate?,3 Years from the date of issue of certificate,What is the validity of family membership certificate?3 Years from the date of issue of certificate
What are the requirements for domicile certificate?,"Aadhaar Card, Affidavit, Birth Certificate, Election ID Card, ID Proof, Ration Card, School Certificate of parents","What are the requirements for domicile certificate?Aadhaar Card, Affidavit, Birth Certificate, Election ID Card, ID Proof, Ration Card, School Certificate of parents"
What is the procedure for obtaining domicile certificate?,"1)Apply Offline for Domicile Certificate in Kerala: Visit the Village Office or the nearest Akshaya Centre in your area. Fill out the Domicile Certificate Application Form. Submit the Application along with the supporting documents.                                                                                                                                                                                           2)Apply online: Login to Kerala E-District portal. Click on ""Domicile Certificate"". Choose the Edistrict Register No. of the person for whom the application is required. Provide the domicile details of the applicant. Provide the declaration. Upload the required documents. Make the required payment.","What is the procedure for obtaining domicile certificate?1)Apply Offline for Domicile Certificate in Kerala: Visit the Village Office or the nearest Akshaya Centre in your area. Fill out the Domicile Certificate Application Form. Submit the Application along with the supporting documents.                                                                                                                                                                                           2)Apply online: Login to Kerala E-District portal. Click on ""Domicile Certificate"". Choose the Edistrict Register No. of the person for whom the application is required. Provide the domicile details of the applicant. Provide the declaration. Upload the required documents. Make the required payment."
What is the time frame/duration for obtaining/issuing the domicile certificate?,10 to 15 days,What is the time frame/duration for obtaining/issuing the domicile certificate?10 to 15 days
What is the fee for domicile certificate?,"Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing
SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing
BPL families need to pay Rs 20","What is the fee for domicile certificate?Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing
SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing
BPL families need to pay Rs 20"
What are the requirements for destitute certificate?,"Aadhaar Card, Affidavit, Election ID Card, ID Proof, Ration Card","What are the requirements for destitute certificate?Aadhaar Card, Affidavit, Election ID Card, ID Proof, Ration Card"
What is the procedure for obtaining destitute certificate?,"1. **Visit the Village Office or the nearest Akshaya Centre**: These are designated government facilities where individuals can access various public services. In Kerala, Akshaya Centres serve as key access points for e-governance and public services.

2. **Fill the Destitute Certificate Application Form**: This form collects information about the applicant's financial status, family background, and other relevant details that help determine their eligibility for receiving a Destitute Certificate.

3. **Submit the Application along with the supporting documents**: Along with the completed application form, applicants need to submit necessary supporting documents. These documents typically include proof of identity, proof of residence, income statements, and any other documents that verify the applicant’s financial condition.","What is the procedure for obtaining destitute certificate?1. **Visit the Village Office or the nearest Akshaya Centre**: These are designated government facilities where individuals can access various public services. In Kerala, Akshaya Centres serve as key access points for e-governance and public services.

2. **Fill the Destitute Certificate Application Form**: This form collects information about the applicant's financial status, family background, and other relevant details that help determine their eligibility for receiving a Destitute Certificate.

3. **Submit the Application along with the supporting documents**: Along with the completed application form, applicants need to submit necessary supporting documents. These documents typically include proof of identity, proof of residence, income statements, and any other documents that verify the applicant’s financial condition."
What is the time frame/duration for obtaining/issuing the destitute certificate?,Destitute certificate in Kerala will be issued 5 days from the date of application.,What is the time frame/duration for obtaining/issuing the destitute certificate?Destitute certificate in Kerala will be issued 5 days from the date of application.
What is the fee for destitute certificate?,"General Category- Rs 25 through Akshaya and Rs. 15 through E-district Portal
BPL card- Rs 15 through Akshaya and Rs. 15 through E-district Portal","What is the fee for destitute certificate?General Category- Rs 25 through Akshaya and Rs. 15 through E-district Portal
BPL card- Rs 15 through Akshaya and Rs. 15 through E-district Portal"
What is the validity of destitute certificate?,3 years from the date of issue.,What is the validity of destitute certificate?3 years from the date of issue.
What are the requirements to apply for voters registration-election identity/id card?,"To apply for a voter ID card online, you would require the following documents:

One passport sized photograph
Identity proof- this could be a birth certificate, passport, driving licence, PAN Card or high school mark sheet.
Address proof- this could be ration card, your passport, driving license or a utility bill (phone or electricity).","What are the requirements to apply for voters registration-election identity/id card?To apply for a voter ID card online, you would require the following documents:

One passport sized photograph
Identity proof- this could be a birth certificate, passport, driving licence, PAN Card or high school mark sheet.
Address proof- this could be ration card, your passport, driving license or a utility bill (phone or electricity)."
What is the procedure for obtaining voters registration-election identity/id card?,"To acquire a voter ID card through an Akshaya Center in Kerala, India, begin by locating the nearest center and ensuring you have the necessary documentation, including proof of identity (such as Aadhar card, passport, or driving license) and proof of address (such as utility bills or rental agreement); upon arrival, request the voter ID card application form from the Akshaya Center staff and meticulously fill it out with accurate details; submit the completed form along with the required documents for thorough verification by the center's personnel, who may also collect biometric data like fingerprints and photographs to ensure the authenticity of the application; once submitted, you'll receive an acknowledgment slip detailing your application, which serves as a reference for tracking its progress; thereafter, the Election Commission conducts a comprehensive verification process to validate the information provided and the authenticity of the documents submitted; upon successful verification, the Election Commission issues the voter ID card, which can be collected from the Akshaya Center or another designated location, ensuring you follow up on any potential delays or issues with the application process for a seamless experience.","What is the procedure for obtaining voters registration-election identity/id card?To acquire a voter ID card through an Akshaya Center in Kerala, India, begin by locating the nearest center and ensuring you have the necessary documentation, including proof of identity (such as Aadhar card, passport, or driving license) and proof of address (such as utility bills or rental agreement); upon arrival, request the voter ID card application form from the Akshaya Center staff and meticulously fill it out with accurate details; submit the completed form along with the required documents for thorough verification by the center's personnel, who may also collect biometric data like fingerprints and photographs to ensure the authenticity of the application; once submitted, you'll receive an acknowledgment slip detailing your application, which serves as a reference for tracking its progress; thereafter, the Election Commission conducts a comprehensive verification process to validate the information provided and the authenticity of the documents submitted; upon successful verification, the Election Commission issues the voter ID card, which can be collected from the Akshaya Center or another designated location, ensuring you follow up on any potential delays or issues with the application process for a seamless experience."
What is the fee for voters registration-election identity/id card?,Rs 40/-,What is the fee for voters registration-election identity/id card?Rs 40/-
What is national scholarship portal?,"National Scholarship Portal is a single stop solution for end to end scholarship process right from submission of student application, verification, sanction and disbursal to end beneficiary for all the scholarships provided by the Government of India. Akshaya centers are providing  the facility  to submit the application.","What is national scholarship portal?National Scholarship Portal is a single stop solution for end to end scholarship process right from submission of student application, verification, sanction and disbursal to end beneficiary for all the scholarships provided by the Government of India. Akshaya centers are providing  the facility  to submit the application."
What are the scholarships provided by the government?,"Some of the important scholarships provided by the government are:

Pre Matric Scholarships Scheme for Minorities

Post Matric Scholarships Scheme for Minorities

Merit Cum Means Scholarship For Professional and Technical Courses CS

Pre-matric Scholarship for Students with Disabilities

Post-matric Scholarship for Students with Disabilities

","What are the scholarships provided by the government?Some of the important scholarships provided by the government are:

Pre Matric Scholarships Scheme for Minorities

Post Matric Scholarships Scheme for Minorities

Merit Cum Means Scholarship For Professional and Technical Courses CS

Pre-matric Scholarship for Students with Disabilities

Post-matric Scholarship for Students with Disabilities

"
What is the eligibility criteria for applying to Pre Matric Scholarships Scheme for Minorities?,"To be eligible for the Pre-Matric Scholarships Scheme for Minorities in India, applicants are required to fulfill several criteria including belonging to one of the minority communities recognized by the Government of India, being enrolled in a recognized school from class 1 to 10, ensuring that the family income does not exceed a specified threshold, providing supporting documents such as a community certificate and income proof, maintaining a bank account in the applicant's name for scholarship disbursement, accurately completing the scholarship application form, and adhering to the submission deadline, with additional considerations for renewal applicants, necessitating the maintenance of satisfactory academic performance or other renewal criteria as per the guidelines provided by the respective scholarship authority or institution.","What is the eligibility criteria for applying to Pre Matric Scholarships Scheme for Minorities?To be eligible for the Pre-Matric Scholarships Scheme for Minorities in India, applicants are required to fulfill several criteria including belonging to one of the minority communities recognized by the Government of India, being enrolled in a recognized school from class 1 to 10, ensuring that the family income does not exceed a specified threshold, providing supporting documents such as a community certificate and income proof, maintaining a bank account in the applicant's name for scholarship disbursement, accurately completing the scholarship application form, and adhering to the submission deadline, with additional considerations for renewal applicants, necessitating the maintenance of satisfactory academic performance or other renewal criteria as per the guidelines provided by the respective scholarship authority or institution."
What are the benefits enjoyed by Pre Matric Scholarship members?,"The Pre-Matric Scholarships Scheme for Minorities in India typically provides a range of services and benefits to eligible students, including financial assistance to cover expenses related to tuition fees, books, stationery, uniforms, transport, and other educational essentials, aimed at ensuring continued access to quality education and reducing financial barriers for students belonging to minority communities, thereby fostering educational empowerment and social inclusion.","What are the benefits enjoyed by Pre Matric Scholarship members?The Pre-Matric Scholarships Scheme for Minorities in India typically provides a range of services and benefits to eligible students, including financial assistance to cover expenses related to tuition fees, books, stationery, uniforms, transport, and other educational essentials, aimed at ensuring continued access to quality education and reducing financial barriers for students belonging to minority communities, thereby fostering educational empowerment and social inclusion."
